group,reference_mode,mode,target_profile,W_SM_KiB,blocks_per_SM,active_SM,reuse_factor,load_repeat,store_repeat,n_gpu_active,gpu_list,valid,regime,reason,iters,command
register,reg_mma,empty,rtx3090,32,16,82,1,1,1,1,0,True,shared_resident,fits shared memory,calibrated,./build/a100_fp16_energy_v2 --gpu-list 0 --mode empty --w-sm-kib 32 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 10.0 --repeats 1 --reuse-factor 1 --load-repeat 1 --store-repeat 1 --output results/raw/rtx3090_register_tensor_pairs_20260702.csv --verify-smid 1
register,reg_mma,reg_fragment_only,rtx3090,32,16,82,1,1,1,1,0,True,shared_resident,fits shared memory,calibrated,./build/a100_fp16_energy_v2 --gpu-list 0 --mode reg_fragment_only --w-sm-kib 32 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 10.0 --repeats 1 --reuse-factor 1 --load-repeat 1 --store-repeat 1 --output results/raw/rtx3090_register_tensor_pairs_20260702.csv --verify-smid 1
register,reg_mma,reg_operand_only,rtx3090,32,16,82,1,1,1,1,0,True,shared_resident,fits shared memory,calibrated,./build/a100_fp16_energy_v2 --gpu-list 0 --mode reg_operand_only --w-sm-kib 32 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 10.0 --repeats 1 --reuse-factor 1 --load-repeat 1 --store-repeat 1 --output results/raw/rtx3090_register_tensor_pairs_20260702.csv --verify-smid 1
register,reg_mma,reg_mma,rtx3090,32,16,82,1,1,1,1,0,True,shared_resident,fits shared memory,calibrated,./build/a100_fp16_energy_v2 --gpu-list 0 --mode reg_mma --w-sm-kib 32 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 10.0 --repeats 1 --reuse-factor 1 --load-repeat 1 --store-repeat 1 --output results/raw/rtx3090_register_tensor_pairs_20260702.csv --verify-smid 1
register,reg_mma,empty,rtx3090,32,16,82,2,1,1,1,0,True,shared_resident,fits shared memory,calibrated,./build/a100_fp16_energy_v2 --gpu-list 0 --mode empty --w-sm-kib 32 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 10.0 --repeats 1 --reuse-factor 2 --load-repeat 1 --store-repeat 1 --output results/raw/rtx3090_register_tensor_pairs_20260702.csv --verify-smid 1
register,reg_mma,reg_fragment_only,rtx3090,32,16,82,2,1,1,1,0,True,shared_resident,fits shared memory,calibrated,./build/a100_fp16_energy_v2 --gpu-list 0 --mode reg_fragment_only --w-sm-kib 32 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 10.0 --repeats 1 --reuse-factor 2 --load-repeat 1 --store-repeat 1 --output results/raw/rtx3090_register_tensor_pairs_20260702.csv --verify-smid 1
register,reg_mma,reg_operand_only,rtx3090,32,16,82,2,1,1,1,0,True,shared_resident,fits shared memory,calibrated,./build/a100_fp16_energy_v2 --gpu-list 0 --mode reg_operand_only --w-sm-kib 32 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 10.0 --repeats 1 --reuse-factor 2 --load-repeat 1 --store-repeat 1 --output results/raw/rtx3090_register_tensor_pairs_20260702.csv --verify-smid 1
register,reg_mma,reg_mma,rtx3090,32,16,82,2,1,1,1,0,True,shared_resident,fits shared memory,calibrated,./build/a100_fp16_energy_v2 --gpu-list 0 --mode reg_mma --w-sm-kib 32 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 10.0 --repeats 1 --reuse-factor 2 --load-repeat 1 --store-repeat 1 --output results/raw/rtx3090_register_tensor_pairs_20260702.csv --verify-smid 1
register,reg_mma,empty,rtx3090,32,16,82,4,1,1,1,0,True,shared_resident,fits shared memory,calibrated,./build/a100_fp16_energy_v2 --gpu-list 0 --mode empty --w-sm-kib 32 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 10.0 --repeats 1 --reuse-factor 4 --load-repeat 1 --store-repeat 1 --output results/raw/rtx3090_register_tensor_pairs_20260702.csv --verify-smid 1
register,reg_mma,reg_fragment_only,rtx3090,32,16,82,4,1,1,1,0,True,shared_resident,fits shared memory,calibrated,./build/a100_fp16_energy_v2 --gpu-list 0 --mode reg_fragment_only --w-sm-kib 32 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 10.0 --repeats 1 --reuse-factor 4 --load-repeat 1 --store-repeat 1 --output results/raw/rtx3090_register_tensor_pairs_20260702.csv --verify-smid 1
register,reg_mma,reg_operand_only,rtx3090,32,16,82,4,1,1,1,0,True,shared_resident,fits shared memory,calibrated,./build/a100_fp16_energy_v2 --gpu-list 0 --mode reg_operand_only --w-sm-kib 32 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 10.0 --repeats 1 --reuse-factor 4 --load-repeat 1 --store-repeat 1 --output results/raw/rtx3090_register_tensor_pairs_20260702.csv --verify-smid 1
register,reg_mma,reg_mma,rtx3090,32,16,82,4,1,1,1,0,True,shared_resident,fits shared memory,calibrated,./build/a100_fp16_energy_v2 --gpu-list 0 --mode reg_mma --w-sm-kib 32 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 10.0 --repeats 1 --reuse-factor 4 --load-repeat 1 --store-repeat 1 --output results/raw/rtx3090_register_tensor_pairs_20260702.csv --verify-smid 1
register,reg_mma,empty,rtx3090,32,16,82,8,1,1,1,0,True,shared_resident,fits shared memory,calibrated,./build/a100_fp16_energy_v2 --gpu-list 0 --mode empty --w-sm-kib 32 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 10.0 --repeats 1 --reuse-factor 8 --load-repeat 1 --store-repeat 1 --output results/raw/rtx3090_register_tensor_pairs_20260702.csv --verify-smid 1
register,reg_mma,reg_fragment_only,rtx3090,32,16,82,8,1,1,1,0,True,shared_resident,fits shared memory,calibrated,./build/a100_fp16_energy_v2 --gpu-list 0 --mode reg_fragment_only --w-sm-kib 32 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 10.0 --repeats 1 --reuse-factor 8 --load-repeat 1 --store-repeat 1 --output results/raw/rtx3090_register_tensor_pairs_20260702.csv --verify-smid 1
register,reg_mma,reg_operand_only,rtx3090,32,16,82,8,1,1,1,0,True,shared_resident,fits shared memory,calibrated,./build/a100_fp16_energy_v2 --gpu-list 0 --mode reg_operand_only --w-sm-kib 32 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 10.0 --repeats 1 --reuse-factor 8 --load-repeat 1 --store-repeat 1 --output results/raw/rtx3090_register_tensor_pairs_20260702.csv --verify-smid 1
register,reg_mma,reg_mma,rtx3090,32,16,82,8,1,1,1,0,True,shared_resident,fits shared memory,calibrated,./build/a100_fp16_energy_v2 --gpu-list 0 --mode reg_mma --w-sm-kib 32 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 10.0 --repeats 1 --reuse-factor 8 --load-repeat 1 --store-repeat 1 --output results/raw/rtx3090_register_tensor_pairs_20260702.csv --verify-smid 1
